
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.1.6:58790      3.5.20.169:80          TIME_WAIT       0
  TCP    192.168.1.6:58791      3.5.20.169:80          TIME_WAIT       0
  TCP    192.168.1.6:58795      3.5.20.169:80          TIME_WAIT       0
  TCP    192.168.1.6:58799      3.5.20.169:80          TIME_WAIT       0
  TCP    192.168.1.6:58800      3.5.20.169:80          TIME_WAIT       0
  TCP    192.168.1.6:59155      3.5.20.169:80          TIME_WAIT       0
  TCP    192.168.1.6:59157      34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.1.6:59514      34.54.84.110:443       ESTABLISHED     12280
  TCP    192.168.1.6:59517      20.213.196.212:443     ESTABLISHED     14380
  TCP    192.168.1.6:60831      142.251.222.142:443    ESTABLISHED     2644
  TCP    192.168.1.6:61588      20.42.65.89:443        TIME_WAIT       0
  TCP    192.168.1.6:62060      3.5.20.169:80          TIME_WAIT       0
  TCP    192.168.1.6:62638      20.189.173.17:443      TIME_WAIT       0
  TCP    192.168.1.6:62751      20.189.173.1:443       ESTABLISHED     13460
  TCP    192.168.1.6:62752      20.189.173.1:443       ESTABLISHED     13460
  TCP    192.168.1.6:65378      34.54.84.110:443       TIME_WAIT       0
  TCP    [::]:21                [::]:0                 LISTENING       5528
  TCP    [::]:80                [::]:0                 LISTENING       5376
  TCP    [::]:135               [::]:0                 LISTENING       1916
  TCP    [::]:443               [::]:0                 LISTENING       5376
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:3000              [::]:0                 LISTENING       30180
  TCP    [::]:3306              [::]:0                 LISTENING       6056
  TCP    [::]:5432              [::]:0                 LISTENING       27876
  TCP    [::]:6379              [::]:0                 LISTENING       27876
  TCP    [::]:49664             [::]:0                 LISTENING       1624
  TCP    [::]:49665             [::]:0                 LISTENING       1432
  TCP    [::]:49666             [::]:0                 LISTENING       2420
  TCP    [::]:49667             [::]:0                 LISTENING       3736
  TCP    [::]:49668             [::]:0                 LISTENING       5180
  TCP    [::]:49673             [::]:0                 LISTENING       1564
  TCP    [::]:59172             [::]:0                 LISTENING       19352
  TCP    [::1]:3000             [::1]:49274            TIME_WAIT       0
  TCP    [::1]:3000             [::1]:49834            TIME_WAIT       0
  TCP    [::1]:3000             [::1]:51863            TIME_WAIT       0
  TCP    [::1]:3000             [::1]:52486            ESTABLISHED     30180
  TCP    [::1]:3000             [::1]:55855            TIME_WAIT       0
  TCP    [::1]:3000             [::1]:56483            TIME_WAIT       0
  TCP    [::1]:3000             [::1]:57891            ESTABLISHED     30180
  TCP    [::1]:3000             [::1]:58012            TIME_WAIT       0
  TCP    [::1]:3000             [::1]:59151            TIME_WAIT       0
  TCP    [::1]:3000             [::1]:60057            ESTABLISHED     30180
  TCP    [::1]:3000             [::1]:60458            TIME_WAIT       0
  TCP    [::1]:3000             [::1]:61503            TIME_WAIT       0
  TCP    [::1]:3000             [::1]:62985            ESTABLISHED     30180
  TCP    [::1]:3000             [::1]:63475            TIME_WAIT       0
  TCP    [::1]:5432             [::1]:53888            ESTABLISHED     27876
  TCP    [::1]:5432             [::1]:60615            ESTABLISHED     27876
  TCP    [::1]:6379             [::1]:53424            ESTABLISHED     27876
  TCP    [::1]:14147            [::]:0                 LISTENING       5528
  TCP    [::1]:52486            [::1]:3000             ESTABLISHED     14956
  TCP    [::1]:53424            [::1]:6379             ESTABLISHED     21516
  TCP    [::1]:53888            [::1]:5432             ESTABLISHED     21516
  TCP    [::1]:57891            [::1]:3000             ESTABLISHED     2644
  TCP    [::1]:60057            [::1]:3000             ESTABLISHED     2644
  TCP    [::1]:60615            [::1]:5432             ESTABLISHED     21516
  TCP    [::1]:62985            [::1]:3000             ESTABLISHED     14956
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:50430  [2404:6800:4003:c1a::bc]:5228  ESTABLISHED     2644
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:51490  [2603:1046:2000:60::83]:443  TIME_WAIT       0
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:53498  [2606:4700:9761:d8b7:9a76:80f:ccf5:ac50]:443  ESTABLISHED     18860
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:54208  [2404:6800:4007:830::200a]:443  ESTABLISHED     12280
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:54943  [2404:6800:4007:82f::200a]:443  ESTABLISHED     12280
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:54968  [2603:1040:a06:6::1]:443  ESTABLISHED     6132
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:55283  [2620:1ec:33::11]:443  TIME_WAIT       0
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:55930  [2404:6800:4003:c1a::bc]:443  ESTABLISHED     18860
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:56145  [2001:4860:4802:34::223]:443  ESTABLISHED     12280
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:56376  [2404:6800:4007:82f::200a]:443  ESTABLISHED     12280
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:58162  [2404:6800:4007:82f::200a]:443  ESTABLISHED     12280
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:58593  [2404:6800:4007:82f::200a]:443  ESTABLISHED     12280
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:58712  [2404:6800:4007:82f::200a]:443  ESTABLISHED     12280
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:58783  [2606:4700:9762:7cbc:c276:80e:5ff2:75c4]:443  TIME_WAIT       0
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:59512  [2606:4700:9762:7cbc:c276:80f:5ff2:75c4]:443  TIME_WAIT       0
